'Elapsed time','I','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'47:49:07.752',-,-0.080,-,44.800,35.600
'47:49:07.760',-,-0.080,-,45.600,35.200
'47:49:07.768',-,-0.056,-,45.600,34.400
'47:49:07.776',-,-0.056,-,46.400,33.200
'47:49:07.784',-,-0.056,-,48.800,32.400
'47:49:07.792',-,-0.056,-,52.000,31.600
'47:49:07.800',-,-0.056,-,58.400,30.800
'47:49:07.808',-,-0.080,-,68.000,30.000
'47:49:07.816',-,-0.080,-,80.800,28.800
'47:49:07.824',-,-0.080,-,95.200,27.200
'47:49:07.832',-,-0.096,-,108.000,26.800
'47:49:07.840',-,-0.096,-,117.600,26.800
'47:49:07.848',-,-0.120,-,124.800,28.000
'47:49:07.856',-,-0.136,-,128.000,30.000
'47:49:07.864',-,-0.160,-,128.800,32.400
'47:49:07.872',-,-0.176,-,128.000,35.200
'47:49:07.880',-,-0.200,-,126.400,38.400
'47:49:07.888',-,-0.200,-,123.200,41.600
'47:49:07.896',-,-0.176,-,119.200,44.800
'47:49:07.904',-,-0.136,-,115.200,47.200
'47:49:07.912',-,-0.120,-,110.400,49.600
'47:49:07.920',-,-0.080,-,105.600,51.200
'47:49:07.928',-,-0.040,-,100.800,52.400
'47:49:07.936',-,-0.016,-,96.000,52.400
'47:49:07.944',-,0.000,-,91.200,51.600
'47:49:07.952',-,0.000,-,86.400,49.600
'47:49:07.960',-,0.016,-,81.600,47.200
'47:49:07.968',-,0.016,-,76.800,44.000
'47:49:07.976',-,0.016,-,72.000,40.800
'47:49:07.984',-,0.040,-,67.200,38.400
'47:49:07.992',-,0.040,-,63.200,36.400
'47:49:08.000',-,0.040,-,58.400,34.800
'47:49:08.008',-,0.040,-,54.400,33.200
'47:49:08.016',-,0.040,-,51.200,31.200
'47:49:08.024',-,0.040,-,48.000,29.600
'47:49:08.032',-,0.056,-,44.800,28.000
'47:49:08.040',-,0.120,-,42.400,27.200
'47:49:08.048',-,0.240,-,40.800,26.800
'47:49:08.056',-,0.360,-,39.200,27.200
'47:49:08.064',-,0.488,-,38.400,28.000
'47:49:08.072',-,0.568,-,38.400,28.800
'47:49:08.080',-,0.584,-,37.600,29.600
'47:49:08.088',-,0.504,-,37.600,30.400
'47:49:08.096',-,0.304,-,37.600,30.800
'47:49:08.104',-,0.080,-,37.600,30.800
'47:49:08.112',-,-0.040,-,38.400,30.800
'47:49:08.120',-,-0.080,-,39.200,30.800
'47:49:08.128',-,-0.096,-,40.000,31.200
'47:49:08.136',-,-0.120,-,40.800,32.000
'47:49:08.144',-,-0.096,-,41.600,32.400
'47:49:08.152',-,-0.080,-,42.400,32.400
'47:49:08.160',-,-0.080,-,44.000,31.200
'47:49:08.168',-,-0.056,-,45.600,30.000
'47:49:08.176',-,-0.056,-,49.600,28.800
'47:49:08.184',-,-0.080,-,56.800,28.000
'47:49:08.192',-,-0.080,-,67.200,26.800
'47:49:08.200',-,-0.080,-,79.200,26.000
'47:49:08.208',-,-0.096,-,92.800,25.600
'47:49:08.216',-,-0.120,-,104.800,26.000
'47:49:08.224',-,-0.136,-,114.400,27.200
'47:49:08.232',-,-0.136,-,120.000,29.200
'47:49:08.240',-,-0.176,-,123.200,31.600
'47:49:08.248',-,-0.200,-,124.000,34.800
'47:49:08.256',-,-0.200,-,123.200,38.000
'47:49:08.264',-,-0.224,-,120.800,41.200
'47:49:08.272',-,-0.200,-,118.400,44.800
'47:49:08.280',-,-0.176,-,114.400,47.600
'47:49:08.288',-,-0.136,-,110.400,50.000
'47:49:08.296',-,-0.096,-,105.600,51.600
'47:49:08.304',-,-0.040,-,100.800,52.400
'47:49:08.312',-,0.000,-,96.000,52.400
'47:49:08.320',-,0.040,-,91.200,51.200
'47:49:08.328',-,0.056,-,86.400,50.000
'47:49:08.336',-,0.056,-,80.800,48.000
'47:49:08.344',-,0.056,-,76.000,45.600
'47:49:08.352',-,0.056,-,71.200,43.200
'47:49:08.360',-,0.056,-,66.400,40.400
'47:49:08.368',-,0.056,-,62.400,38.000
'47:49:08.376',-,0.056,-,58.400,36.400
'47:49:08.384',-,0.056,-,54.400,34.400
'47:49:08.392',-,0.056,-,51.200,32.400
'47:49:08.400',-,0.040,-,48.000,30.400
'47:49:08.408',-,0.040,-,45.600,28.400
'47:49:08.416',-,0.040,-,43.200,27.200
'47:49:08.424',-,0.040,-,41.600,26.400
'47:49:08.432',-,0.040,-,40.800,26.400
'47:49:08.440',-,0.040,-,40.000,26.800
'47:49:08.448',-,0.040,-,39.200,27.200
'47:49:08.456',-,0.040,-,39.200,28.400
'47:49:08.464',-,0.040,-,38.400,29.200
'47:49:08.472',-,0.040,-,38.400,30.000
'47:49:08.480',-,0.040,-,38.400,30.400
'47:49:08.488',-,0.056,-,38.400,30.400
'47:49:08.496',-,0.120,-,39.200,30.800
'47:49:08.504',-,0.224,-,39.200,31.200
'47:49:08.512',-,0.360,-,40.000,31.200
'47:49:08.520',-,0.464,-,40.800,31.200
'47:49:08.528',-,0.544,-,41.600,31.200
'47:49:08.536',-,0.544,-,41.600,31.200
'47:49:08.544',-,0.408,-,42.400,31.200
'47:49:08.552',-,0.200,-,43.200,30.800
'47:49:08.560',-,0.016,-,43.200,30.400
'47:49:08.568',-,-0.080,-,44.000,30.400
'47:49:08.576',-,-0.120,-,44.000,30.800
'47:49:08.584',-,-0.120,-,44.000,31.200
'47:49:08.592',-,-0.096,-,44.000,31.600
'47:49:08.600',-,-0.096,-,44.000,31.600
'47:49:08.608',-,-0.080,-,44.800,31.600
'47:49:08.616',-,-0.080,-,45.600,31.200
'47:49:08.624',-,-0.056,-,48.800,30.400
'47:49:08.632',-,-0.056,-,53.600,30.000
'47:49:08.640',-,-0.056,-,61.600,29.600
'47:49:08.648',-,-0.056,-,72.800,30.000
'47:49:08.656',-,-0.056,-,86.400,31.600
'47:49:08.664',-,-0.056,-,99.200,33.600
'47:49:08.672',-,-0.080,-,109.600,36.800
'47:49:08.680',-,-0.080,-,116.800,40.400
'47:49:08.688',-,-0.096,-,120.800,44.400
'47:49:08.696',-,-0.120,-,124.000,48.400
'47:49:08.704',-,-0.136,-,124.800,52.400
'47:49:08.712',-,-0.136,-,124.000,56.000
'47:49:08.720',-,-0.136,-,122.400,58.800
'47:49:08.728',-,-0.136,-,120.000,61.200
'47:49:08.736',-,-0.136,-,117.600,62.800
'47:49:08.744',-,-0.120,-,114.400,63.600
'47:49:08.752',-,-0.080,-,110.400,63.600
'47:49:08.760',-,-0.056,-,107.200,63.200
'47:49:08.768',-,-0.016,-,103.200,62.400
'47:49:08.776',-,0.000,-,99.200,60.800
'47:49:08.784',-,0.016,-,95.200,58.800
'47:49:08.792',-,0.040,-,90.400,56.800
'47:49:08.800',-,0.056,-,85.600,54.400
'47:49:08.808',-,0.080,-,80.800,52.000
'47:49:08.816',-,0.096,-,76.000,49.600
'47:49:08.824',-,0.080,-,72.000,46.800
'47:49:08.832',-,0.080,-,67.200,44.800
'47:49:08.840',-,0.080,-,63.200,42.800
'47:49:08.848',-,0.080,-,59.200,41.200
'47:49:08.856',-,0.056,-,56.000,40.000
'47:49:08.864',-,0.056,-,52.800,39.200
'47:49:08.872',-,0.056,-,50.400,38.400
'47:49:08.880',-,0.040,-,48.000,37.600
'47:49:08.888',-,0.040,-,46.400,36.800
'47:49:08.896',-,0.040,-,45.600,36.800
'47:49:08.904',-,0.040,-,44.800,37.200
'47:49:08.912',-,0.016,-,44.000,37.600
'47:49:08.920',-,0.016,-,44.000,37.600
'47:49:08.928',-,0.040,-,44.000,38.000
'47:49:08.936',-,0.040,-,44.000,38.000
'47:49:08.944',-,0.040,-,44.000,38.400
'47:49:08.952',-,0.016,-,44.000,38.400
'47:49:08.960',-,0.016,-,44.000,38.400
'47:49:08.968',-,0.016,-,44.000,38.000
'47:49:08.976',-,0.056,-,44.000,38.000
'47:49:08.984',-,0.136,-,44.000,37.600
'47:49:08.992',-,0.264,-,44.000,37.200
'47:49:09.000',-,0.384,-,44.000,36.800
'47:49:09.008',-,0.488,-,44.800,36.800
'47:49:09.016',-,0.504,-,44.800,36.800
'47:49:09.024',-,0.448,-,44.800,36.800
'47:49:09.032',-,0.264,-,44.800,36.400
'47:49:09.040',-,0.056,-,44.800,36.000
'47:49:09.048',-,-0.056,-,44.800,35.600
'47:49:09.056',-,-0.120,-,44.800,35.200
'47:49:09.064',-,-0.136,-,44.800,35.600
'47:49:09.072',-,-0.136,-,44.800,36.000
'47:49:09.080',-,-0.120,-,44.800,37.200
'47:49:09.088',-,-0.120,-,44.800,38.000
'47:49:09.096',-,-0.120,-,44.800,38.400
'47:49:09.104',-,-0.096,-,46.400,38.800
'47:49:09.112',-,-0.096,-,49.600,38.800
'47:49:09.120',-,-0.096,-,54.400,38.800
'47:49:09.128',-,-0.096,-,63.200,38.400
'47:49:09.136',-,-0.096,-,74.400,37.600
'47:49:09.144',-,-0.096,-,87.200,37.600
'47:49:09.152',-,-0.120,-,100.000,37.600
'47:49:09.160',-,-0.120,-,111.200,38.800
'47:49:09.168',-,-0.120,-,119.200,40.400
'47:49:09.176',-,-0.136,-,124.800,43.200
'47:49:09.184',-,-0.160,-,128.000,46.400
'47:49:09.192',-,-0.160,-,128.800,50.000
'47:49:09.200',-,-0.176,-,128.000,53.600
'47:49:09.208',-,-0.176,-,125.600,57.200
'47:49:09.216',-,-0.176,-,123.200,60.400
'47:49:09.224',-,-0.160,-,119.200,62.800
'47:49:09.232',-,-0.136,-,115.200,64.400
'47:49:09.240',-,-0.120,-,111.200,65.200
'47:49:09.248',-,-0.080,-,107.200,65.600
'47:49:09.256',-,-0.056,-,102.400,64.800
'47:49:09.264',-,-0.040,-,97.600,63.600
'47:49:09.272',-,-0.016,-,93.600,61.600
'47:49:09.280',-,0.000,-,88.800,59.200
'47:49:09.288',-,0.016,-,84.000,56.000
'47:49:09.296',-,0.040,-,79.200,53.200
'47:49:09.304',-,0.056,-,74.400,50.400
'47:49:09.312',-,0.056,-,69.600,48.000
'47:49:09.320',-,0.056,-,65.600,46.000
'47:49:09.328',-,0.056,-,61.600,44.000
'47:49:09.336',-,0.056,-,57.600,42.400
'47:49:09.344',-,0.040,-,54.400,41.200
'47:49:09.352',-,0.040,-,52.000,40.400
'47:49:09.360',-,0.040,-,49.600,40.000
'47:49:09.368',-,0.040,-,48.000,40.400
'47:49:09.376',-,0.016,-,46.400,40.800
'47:49:09.384',-,0.016,-,45.600,41.200
'47:49:09.392',-,0.016,-,44.800,41.600
'47:49:09.400',-,0.016,-,44.800,41.600
'47:49:09.408',-,0.016,-,44.800,41.600
'47:49:09.416',-,0.016,-,44.800,41.600
'47:49:09.424',-,0.016,-,45.600,41.200
'47:49:09.432',-,0.016,-,45.600,40.800
'47:49:09.440',-,0.016,-,45.600,40.400
'47:49:09.448',-,0.000,-,45.600,40.000
'47:49:09.456',-,0.000,-,45.600,39.600
'47:49:09.464',-,0.016,-,45.600,38.800
'47:49:09.472',-,0.080,-,45.600,38.400
'47:49:09.480',-,0.176,-,45.600,37.600
'47:49:09.488',-,0.304,-,45.600,36.800
'47:49:09.496',-,0.424,-,45.600,36.400
'47:49:09.504',-,0.488,-,44.800,36.400
'47:49:09.512',-,0.504,-,44.800,36.000
'47:49:09.520',-,0.360,-,44.800,36.000
'47:49:09.528',-,0.160,-,44.800,35.600
'47:49:09.536',-,0.000,-,44.800,35.200
'47:49:09.544',-,-0.096,-,44.800,34.800
'47:49:09.552',-,-0.120,-,44.800,35.200
'47:49:09.560',-,-0.136,-,44.800,35.600
'47:49:09.568',-,-0.120,-,44.800,36.400
'47:49:09.576',-,-0.096,-,44.800,37.200
'47:49:09.584',-,-0.096,-,44.800,38.000
'47:49:09.592',-,-0.096,-,45.600,38.800
'47:49:09.600',-,-0.096,-,48.000,39.600
'47:49:09.608',-,-0.080,-,51.200,40.000
'47:49:09.616',-,-0.080,-,57.600,40.000
'47:49:09.624',-,-0.080,-,66.400,39.600
'47:49:09.632',-,-0.080,-,77.600,38.400
'47:49:09.640',-,-0.096,-,90.400,37.600
'47:49:09.648',-,-0.096,-,102.400,37.600
'47:49:09.656',-,-0.096,-,112.800,38.800
'47:49:09.664',-,-0.120,-,120.000,40.400
'47:49:09.672',-,-0.120,-,124.800,42.800
'47:49:09.680',-,-0.136,-,128.000,45.600
'47:49:09.688',-,-0.160,-,128.000,49.200
'47:49:09.696',-,-0.160,-,127.200,52.400
'47:49:09.704',-,-0.176,-,124.800,56.000
'47:49:09.712',-,-0.160,-,121.600,58.800
'47:49:09.720',-,-0.160,-,117.600,61.200
'47:49:09.728',-,-0.120,-,113.600,62.800
'47:49:09.736',-,-0.096,-,109.600,63.600
'47:49:09.744',-,-0.080,-,104.800,63.600
'47:49:09.752',-,-0.040,-,100.800,63.200
'47:49:09.760',-,-0.016,-,96.000,61.600
'47:49:09.768',-,0.000,-,91.200,59.200
'47:49:09.776',-,0.000,-,86.400,56.800
'47:49:09.784',-,0.016,-,81.600,53.600
'47:49:09.792',-,0.016,-,76.800,51.200
'47:49:09.800',-,0.040,-,72.000,48.800
'47:49:09.808',-,0.056,-,67.200,46.800
'47:49:09.816',-,0.056,-,63.200,44.800
'47:49:09.824',-,0.080,-,59.200,42.800
'47:49:09.832',-,0.080,-,56.000,41.200
'47:49:09.840',-,0.056,-,52.800,40.000
'47:49:09.848',-,0.056,-,50.400,39.200
'47:49:09.856',-,0.056,-,48.800,38.800
'47:49:09.864',-,0.040,-,47.200,39.600
'47:49:09.872',-,0.040,-,45.600,40.400
'47:49:09.880',-,0.040,-,44.800,41.200
'47:49:09.888',-,0.040,-,44.800,42.000
'47:49:09.896',-,0.040,-,44.000,42.400
'47:49:09.904',-,0.016,-,44.000,42.400
'47:49:09.912',-,0.016,-,44.800,42.400
'47:49:09.920',-,0.016,-,44.800,42.400
'47:49:09.928',-,0.016,-,45.600,42.000
'47:49:09.936',-,0.016,-,45.600,41.200
'47:49:09.944',-,0.016,-,46.400,40.400
'47:49:09.952',-,0.016,-,46.400,39.600
'47:49:09.960',-,0.016,-,46.400,38.800
'47:49:09.968',-,0.016,-,46.400,38.000
'47:49:09.976',-,0.040,-,46.400,36.800
'47:49:09.984',-,0.080,-,45.600,36.000
'47:49:09.992',-,0.176,-,45.600,35.600
'47:49:10.000',-,0.304,-,44.800,34.800
'47:49:10.008',-,0.408,-,44.800,34.800
'47:49:10.016',-,0.488,-,44.000,34.800
'47:49:10.024',-,0.504,-,44.000,34.800
'47:49:10.032',-,0.360,-,44.000,34.800
'47:49:10.040',-,0.160,-,44.000,34.800
'47:49:10.048',-,0.000,-,43.200,34.800
'47:49:10.056',-,-0.080,-,43.200,34.800
'47:49:10.064',-,-0.120,-,43.200,35.200
'47:49:10.072',-,-0.120,-,43.200,35.600
'47:49:10.080',-,-0.120,-,43.200,36.400
'47:49:10.088',-,-0.096,-,42.400,37.200
'47:49:10.096',-,-0.096,-,43.200,38.000
'47:49:10.104',-,-0.096,-,43.200,38.800
'47:49:10.112',-,-0.080,-,44.800,39.600
'47:49:10.120',-,-0.080,-,48.000,40.000
'47:49:10.128',-,-0.080,-,52.800,40.400
'47:49:10.136',-,-0.080,-,60.800,40.000
'47:49:10.144',-,-0.080,-,71.200,38.800
'47:49:10.152',-,-0.096,-,83.200,38.000
'47:49:10.160',-,-0.096,-,96.000,37.600
'47:49:10.168',-,-0.096,-,106.400,38.400
'47:49:10.176',-,-0.096,-,115.200,40.000
'47:49:10.184',-,-0.120,-,121.600,42.400
'47:49:10.192',-,-0.120,-,125.600,45.200
'47:49:10.200',-,-0.136,-,126.400,48.400
'47:49:10.208',-,-0.160,-,125.600,52.000
'47:49:10.216',-,-0.160,-,124.000,55.200
'47:49:10.224',-,-0.160,-,120.800,58.400
'47:49:10.232',-,-0.136,-,117.600,60.800
'47:49:10.240',-,-0.120,-,113.600,62.800
'47:49:10.248',-,-0.096,-,108.800,63.600
'47:49:10.256',-,-0.080,-,104.800,64.000
'47:49:10.264',-,-0.040,-,100.800,63.200
'47:49:10.272',-,-0.016,-,96.000,62.000
'47:49:10.280',-,0.000,-,91.200,60.000
'47:49:10.288',-,0.000,-,86.400,57.200
'47:49:10.296',-,0.016,-,81.600,54.000
'47:49:10.304',-,0.016,-,76.800,51.600
'47:49:10.312',-,0.040,-,72.000,49.200
'47:49:10.320',-,0.056,-,67.200,46.800
'47:49:10.328',-,0.056,-,63.200,44.800
'47:49:10.336',-,0.080,-,59.200,42.800
'47:49:10.344',-,0.080,-,55.200,41.200
'47:49:10.352',-,0.080,-,52.000,40.000
'47:49:10.360',-,0.056,-,49.600,39.600
'47:49:10.368',-,0.056,-,47.200,39.200
'47:49:10.376',-,0.056,-,45.600,39.600
'47:49:10.384',-,0.040,-,44.800,40.400
'47:49:10.392',-,0.040,-,44.000,41.600
'47:49:10.400',-,0.040,-,43.200,42.400
'47:49:10.408',-,0.040,-,43.200,42.800
'47:49:10.416',-,0.040,-,43.200,42.800
'47:49:10.424',-,0.040,-,43.200,42.800
'47:49:10.432',-,0.040,-,44.000,42.400
'47:49:10.440',-,0.040,-,44.800,42.000
'47:49:10.448',-,0.040,-,44.800,41.200
'47:49:10.456',-,0.040,-,45.600,40.400
'47:49:10.464',-,0.040,-,45.600,39.600
'47:49:10.472',-,0.016,-,45.600,38.800
'47:49:10.480',-,0.016,-,45.600,38.000
'47:49:10.488',-,0.016,-,45.600,37.200
'47:49:10.496',-,0.056,-,45.600,36.000
'47:49:10.504',-,0.136,-,44.800,35.600
'47:49:10.512',-,0.264,-,44.800,34.800
'47:49:10.520',-,0.360,-,44.800,34.400
'47:49:10.528',-,0.464,-,44.000,34.400
'47:49:10.536',-,0.504,-,44.000,34.400
'47:49:10.544',-,0.448,-,44.000,34.400
'47:49:10.552',-,0.264,-,44.000,34.800
'47:49:10.560',-,0.056,-,43.200,34.800
'47:49:10.568',-,-0.056,-,43.200,34.800
'47:49:10.576',-,-0.096,-,43.200,35.200
'47:49:10.584',-,-0.120,-,43.200,35.600
'47:49:10.592',-,-0.120,-,42.400,36.000
'47:49:10.600',-,-0.096,-,42.400,36.800
'47:49:10.608',-,-0.080,-,42.400,37.600
'47:49:10.616',-,-0.080,-,42.400,38.400
'47:49:10.624',-,-0.080,-,43.200,39.200
'47:49:10.632',-,-0.080,-,45.600,39.600
'47:49:10.640',-,-0.080,-,48.800,40.000
'47:49:10.648',-,-0.080,-,55.200,39.600
'47:49:10.656',-,-0.080,-,64.000,38.800
'47:49:10.664',-,-0.080,-,75.200,37.600
'47:49:10.672',-,-0.080,-,87.200,37.200
'47:49:10.680',-,-0.080,-,99.200,37.600
'47:49:10.688',-,-0.096,-,108.800,38.400
'47:49:10.696',-,-0.120,-,116.800,40.400
'47:49:10.704',-,-0.120,-,121.600,43.200
'47:49:10.712',-,-0.136,-,124.000,46.400
'47:49:10.720',-,-0.160,-,124.800,49.600
'47:49:10.728',-,-0.160,-,124.000,53.200
'47:49:10.736',-,-0.160,-,121.600,56.400
'47:49:10.744',-,-0.160,-,118.400,59.200
'47:49:10.752',-,-0.136,-,115.200,61.600
'47:49:10.760',-,-0.120,-,111.200,62.800
'47:49:10.768',-,-0.080,-,106.400,63.600
'47:49:10.776',-,-0.056,-,102.400,63.600
'47:49:10.784',-,-0.040,-,97.600,62.400
'47:49:10.792',-,-0.016,-,92.800,60.800
'47:49:10.800',-,0.000,-,88.000,58.000
'47:49:10.808',-,0.000,-,83.200,55.200
'47:49:10.816',-,0.016,-,78.400,52.400
'47:49:10.824',-,0.040,-,73.600,49.600
'47:49:10.832',-,0.056,-,68.800,47.600
'47:49:10.840',-,0.056,-,64.000,45.200
'47:49:10.848',-,0.080,-,60.000,43.200
'47:49:10.856',-,0.080,-,56.800,41.200
'47:49:10.864',-,0.080,-,53.600,40.000
'47:49:10.872',-,0.080,-,50.400,38.800
'47:49:10.880',-,0.080,-,48.000,38.400
'47:49:10.888',-,0.056,-,46.400,38.800
'47:49:10.896',-,0.056,-,44.800,39.600
'47:49:10.904',-,0.040,-,44.000,40.800
'47:49:10.912',-,0.040,-,43.200,41.600
'47:49:10.920',-,0.040,-,43.200,42.400
'47:49:10.928',-,0.040,-,42.400,42.400
'47:49:10.936',-,0.040,-,43.200,42.800
'47:49:10.944',-,0.040,-,43.200,42.400
'47:49:10.952',-,0.040,-,44.000,42.400
'47:49:10.960',-,0.040,-,44.800,41.600
'47:49:10.968',-,0.040,-,44.800,40.800
'47:49:10.976',-,0.040,-,45.600,40.000
'47:49:10.984',-,0.040,-,45.600,38.800
'47:49:10.992',-,0.016,-,45.600,38.000
'47:49:11.000',-,0.016,-,45.600,37.200
'47:49:11.008',-,0.040,-,45.600,36.000
'47:49:11.016',-,0.080,-,44.800,35.200
'47:49:11.024',-,0.176,-,44.800,34.400
'47:49:11.032',-,0.304,-,44.000,34.000
'47:49:11.040',-,0.424,-,44.000,33.600
'47:49:11.048',-,0.488,-,43.200,33.600
'47:49:11.056',-,0.504,-,43.200,33.600
'47:49:11.064',-,0.360,-,43.200,33.200
'47:49:11.072',-,0.160,-,42.400,33.200
'47:49:11.080',-,0.000,-,42.400,32.800
'47:49:11.088',-,-0.080,-,42.400,32.400
'47:49:11.096',-,-0.120,-,41.600,32.400
'47:49:11.104',-,-0.120,-,41.600,32.400
'47:49:11.112',-,-0.120,-,40.800,32.800
'47:49:11.120',-,-0.096,-,40.800,33.200
'47:49:11.128',-,-0.096,-,40.800,34.000
'47:49:11.136',-,-0.096,-,40.800,34.400
'47:49:11.144',-,-0.080,-,41.600,34.400
'47:49:11.152',-,-0.080,-,44.000,34.400
'47:49:11.160',-,-0.080,-,48.800,34.000
'47:49:11.168',-,-0.096,-,56.800,32.800
'47:49:11.176',-,-0.080,-,66.400,31.600
'47:49:11.184',-,-0.096,-,78.400,30.800
'47:49:11.192',-,-0.096,-,91.200,30.800
'47:49:11.200',-,-0.096,-,101.600,32.000
'47:49:11.208',-,-0.120,-,110.400,34.000
'47:49:11.216',-,-0.120,-,116.000,36.400
'47:49:11.224',-,-0.136,-,119.200,39.600
'47:49:11.232',-,-0.136,-,120.800,43.200
'47:49:11.240',-,-0.160,-,120.800,46.800
'47:49:11.248',-,-0.160,-,119.200,50.400
'47:49:11.256',-,-0.160,-,116.800,53.200
'47:49:11.264',-,-0.136,-,112.800,55.200
'47:49:11.272',-,-0.120,-,108.800,56.800
'47:49:11.280',-,-0.096,-,104.800,57.600
'47:49:11.288',-,-0.056,-,100.800,57.600
'47:49:11.296',-,-0.040,-,96.000,56.800
'47:49:11.304',-,-0.016,-,92.000,55.200
'47:49:11.312',-,0.000,-,87.200,52.800
'47:49:11.320',-,0.000,-,82.400,50.000
'47:49:11.328',-,0.016,-,77.600,46.800
'47:49:11.336',-,0.016,-,72.800,44.000
'47:49:11.344',-,0.040,-,68.000,41.600
'47:49:11.352',-,0.056,-,64.000,39.600
'47:49:11.360',-,0.056,-,59.200,37.600
'47:49:11.368',-,0.080,-,55.200,36.000
'47:49:11.376',-,0.096,-,52.000,34.400
'47:49:11.384',-,0.080,-,48.800,33.200
'47:49:11.392',-,0.080,-,45.600,32.000
'47:49:11.400',-,0.080,-,44.000,31.600
'47:49:11.408',-,0.056,-,41.600,31.200
'47:49:11.416',-,0.056,-,40.800,31.200
'47:49:11.424',-,0.056,-,40.000,32.000
'47:49:11.432',-,0.040,-,39.200,32.800
'47:49:11.440',-,0.040,-,39.200,33.200
'47:49:11.448',-,0.040,-,39.200,33.600
'47:49:11.456',-,0.040,-,40.000,33.600
'47:49:11.464',-,0.040,-,40.000,33.200
'47:49:11.472',-,0.040,-,40.800,32.800
'47:49:11.480',-,0.040,-,40.800,32.000
'47:49:11.488',-,0.016,-,40.800,31.200
'47:49:11.496',-,0.016,-,40.800,30.400
'47:49:11.504',-,0.016,-,41.600,29.200
'47:49:11.512',-,0.016,-,41.600,28.400
'47:49:11.520',-,0.016,-,41.600,27.600
'47:49:11.528',-,0.040,-,41.600,27.200
'47:49:11.536',-,0.096,-,40.800,26.800
'47:49:11.544',-,0.200,-,40.800,26.800
'47:49:11.552',-,0.320,-,40.000,26.800
'47:49:11.560',-,0.448,-,40.000,27.200
'47:49:11.568',-,0.504,-,40.000,27.600
'47:49:11.576',-,0.528,-,39.200,28.000
'47:49:11.584',-,0.360,-,39.200,28.000
'47:49:11.592',-,0.160,-,38.400,28.000
'47:49:11.600',-,0.000,-,38.400,28.400
'47:49:11.608',-,-0.096,-,38.400,28.800
'47:49:11.616',-,-0.120,-,37.600,29.200
'47:49:11.624',-,-0.136,-,37.600,29.600
'47:49:11.632',-,-0.120,-,37.600,30.400
'47:49:11.640',-,-0.120,-,37.600,30.800
'47:49:11.648',-,-0.096,-,38.400,30.800
'47:49:11.656',-,-0.080,-,39.200,30.800
'47:49:11.664',-,-0.080,-,40.000,30.400
'47:49:11.672',-,-0.080,-,43.200,30.000
'47:49:11.680',-,-0.080,-,48.800,29.600
'47:49:11.688',-,-0.080,-,56.800,29.600
'47:49:11.696',-,-0.080,-,67.200,30.400
'47:49:11.704',-,-0.080,-,78.400,31.600
'47:49:11.712',-,-0.080,-,89.600,34.000
'47:49:11.720',-,-0.080,-,99.200,37.200
'47:49:11.728',-,-0.096,-,106.400,40.800
'47:49:11.736',-,-0.120,-,111.200,44.800
'47:49:11.744',-,-0.136,-,114.400,48.800
'47:49:11.752',-,-0.136,-,116.000,52.400
'47:49:11.760',-,-0.136,-,116.800,55.200
'47:49:11.768',-,-0.160,-,116.000,57.600
'47:49:11.776',-,-0.136,-,114.400,59.200
'47:49:11.784',-,-0.136,-,112.000,60.400
'47:49:11.792',-,-0.120,-,108.800,60.800
'47:49:11.800',-,-0.080,-,104.800,60.400
'47:49:11.808',-,-0.056,-,100.800,59.600
'47:49:11.816',-,-0.040,-,96.800,58.400
'47:49:11.824',-,0.000,-,92.800,56.400
'47:49:11.832',-,0.000,-,88.800,54.000
'47:49:11.840',-,0.016,-,84.000,51.600
'47:49:11.848',-,0.016,-,79.200,48.800
'47:49:11.856',-,0.040,-,73.600,46.000
'47:49:11.864',-,0.040,-,68.800,43.600
'47:49:11.872',-,0.056,-,64.000,40.800
'47:49:11.880',-,0.080,-,60.000,38.800
'47:49:11.888',-,0.080,-,56.000,37.600
'47:49:11.896',-,0.096,-,52.000,36.400
'47:49:11.904',-,0.096,-,48.800,35.200
'47:49:11.912',-,0.096,-,46.400,34.800
'47:49:11.920',-,0.096,-,44.000,33.600
'47:49:11.928',-,0.096,-,42.400,33.200
'47:49:11.936',-,0.080,-,41.600,32.800
'47:49:11.944',-,0.080,-,40.800,32.800
'47:49:11.952',-,0.056,-,40.800,33.600
'47:49:11.960',-,0.056,-,40.800,34.400
'47:49:11.968',-,0.056,-,41.600,35.200
'47:49:11.976',-,0.040,-,41.600,35.600
'47:49:11.984',-,0.040,-,41.600,35.600
'47:49:11.992',-,0.040,-,42.400,34.800
'47:49:12.000',-,0.040,-,42.400,34.000
'47:49:12.008',-,0.040,-,43.200,33.600
'47:49:12.016',-,0.040,-,43.200,32.800
'47:49:12.024',-,0.040,-,43.200,32.400
'47:49:12.032',-,0.040,-,43.200,31.600
'47:49:12.040',-,0.016,-,43.200,30.800
'47:49:12.048',-,0.016,-,42.400,30.400
'47:49:12.056',-,0.056,-,42.400,30.000
'47:49:12.064',-,0.136,-,41.600,30.000
'47:49:12.072',-,0.240,-,41.600,30.000
'47:49:12.080',-,0.384,-,40.800,30.400
'47:49:12.088',-,0.488,-,40.000,30.800
'47:49:12.096',-,0.544,-,40.000,31.200
'47:49:12.104',-,0.488,-,39.200,31.600
'47:49:12.112',-,0.320,-,39.200,31.600
'47:49:12.120',-,0.096,-,38.400,32.000
