'Elapsed time','I','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'47:49:04.424',-,0.056,-,72.800,42.800
'47:49:04.432',-,0.056,-,68.000,39.600
'47:49:04.440',-,0.056,-,63.200,37.200
'47:49:04.448',-,0.056,-,59.200,34.800
'47:49:04.456',-,0.056,-,55.200,33.200
'47:49:04.464',-,0.056,-,51.200,31.600
'47:49:04.472',-,0.056,-,48.000,29.600
'47:49:04.480',-,0.056,-,45.600,28.000
'47:49:04.488',-,0.080,-,43.200,26.400
'47:49:04.496',-,0.120,-,40.800,25.200
'47:49:04.504',-,0.200,-,39.200,24.800
'47:49:04.512',-,0.320,-,37.600,25.600
'47:49:04.520',-,0.464,-,36.800,26.400
'47:49:04.528',-,0.568,-,36.800,27.200
'47:49:04.536',-,0.608,-,36.800,28.000
'47:49:04.544',-,0.568,-,36.800,28.400
'47:49:04.552',-,0.408,-,36.800,28.800
'47:49:04.560',-,0.176,-,36.800,29.200
'47:49:04.568',-,0.016,-,36.800,29.200
'47:49:04.576',-,-0.056,-,37.600,29.600
'47:49:04.584',-,-0.080,-,38.400,30.400
'47:49:04.592',-,-0.096,-,39.200,31.200
'47:49:04.600',-,-0.080,-,40.000,32.000
'47:49:04.608',-,-0.056,-,40.800,32.000
'47:49:04.616',-,-0.056,-,42.400,31.200
'47:49:04.624',-,-0.056,-,43.200,30.400
'47:49:04.632',-,-0.056,-,45.600,29.600
'47:49:04.640',-,-0.056,-,49.600,28.800
'47:49:04.648',-,-0.080,-,56.000,27.600
'47:49:04.656',-,-0.080,-,66.400,27.200
'47:49:04.664',-,-0.080,-,79.200,27.200
'47:49:04.672',-,-0.096,-,92.000,28.400
'47:49:04.680',-,-0.120,-,103.200,30.000
'47:49:04.688',-,-0.120,-,111.200,32.000
'47:49:04.696',-,-0.136,-,116.800,34.800
'47:49:04.704',-,-0.160,-,119.200,38.000
'47:49:04.712',-,-0.176,-,120.800,41.600
'47:49:04.720',-,-0.224,-,120.000,44.800
'47:49:04.728',-,-0.240,-,118.400,48.000
'47:49:04.736',-,-0.240,-,116.000,51.200
'47:49:04.744',-,-0.224,-,112.800,53.600
'47:49:04.752',-,-0.200,-,108.800,55.200
'47:49:04.760',-,-0.160,-,104.800,56.400
'47:49:04.768',-,-0.120,-,100.800,56.400
'47:49:04.776',-,-0.080,-,96.000,56.000
