'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'25:34.024',-,-,-,-,-,-,-0.120,-0.136,63.600,-
'25:34.032',-,-,-,-,-,-,-0.120,-0.160,63.600,-
'25:34.040',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:34.048',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:34.056',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:34.064',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:34.072',-,-,-,-,-,-,-0.104,-0.136,62.400,-
'25:34.080',-,-,-,-,-,-,-0.104,-0.112,61.200,-
'25:34.088',-,-,-,-,-,-,-0.120,-0.112,61.200,-
'25:34.096',-,-,-,-,-,-,-0.104,-0.112,61.200,-
'25:34.104',-,-,-,-,-,-,-0.104,-0.112,61.200,-
'25:34.112',-,-,-,-,-,-,-0.104,-0.112,60.000,-
'25:34.120',-,-,-,-,-,-,-0.104,-0.112,60.000,-
'25:34.128',-,-,-,-,-,-,-0.104,-0.112,60.000,-
'25:34.136',-,-,-,-,-,-,-0.104,-0.112,60.000,-
'25:34.144',-,-,-,-,-,-,-0.104,-0.136,60.000,-
'25:34.152',-,-,-,-,-,-,-0.104,-0.112,58.800,-
'25:34.160',-,-,-,-,-,-,-0.080,-0.088,58.800,-
'25:34.168',-,-,-,-,-,-,-0.080,-0.112,58.800,-
'25:34.176',-,-,-,-,-,-,-0.056,-0.088,58.800,-
'25:34.184',-,-,-,-,-,-,-0.056,-0.040,58.800,-
'25:34.192',-,-,-,-,-,-,-0.056,-0.040,57.600,-
'25:34.200',-,-,-,-,-,-,-0.080,-0.064,57.600,-
'25:34.208',-,-,-,-,-,-,-0.104,-0.112,57.600,-
'25:34.216',-,-,-,-,-,-,-0.104,-0.136,57.600,-
'25:34.224',-,-,-,-,-,-,-0.104,-0.112,57.600,-
'25:34.232',-,-,-,-,-,-,-0.120,-0.136,57.600,-
'25:34.240',-,-,-,-,-,-,-0.120,-0.112,57.600,-
'25:34.248',-,-,-,-,-,-,-0.104,-0.136,57.600,-
'25:34.256',-,-,-,-,-,-,-0.104,-0.112,57.600,-
'25:34.264',-,-,-,-,-,-,-0.080,-0.112,57.600,-
'25:34.272',-,-,-,-,-,-,-0.104,-0.112,57.600,-
'25:34.280',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'25:34.288',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'25:34.296',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'25:34.304',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'25:34.312',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'25:34.320',-,-,-,-,-,-,-0.104,-0.136,56.400,-
'25:34.328',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'25:34.336',-,-,-,-,-,-,-0.056,-0.112,55.200,-
'25:34.344',-,-,-,-,-,-,0.016,-0.112,55.200,-
'25:34.352',-,-,-,-,-,-,0.040,0.040,55.200,-
'25:34.360',-,-,-,-,-,-,-0.056,0.040,54.000,-
'25:34.368',-,-,-,-,-,-,-0.312,-0.160,54.000,-
'25:34.376',-,-,-,-,-,-,-0.552,-0.464,52.800,-
'25:34.384',-,-,-,-,-,-,-0.616,-0.760,52.800,-
'25:34.392',-,-,-,-,-,-,-0.464,-0.552,52.800,-
'25:34.400',-,-,-,-,-,-,-0.360,-0.416,51.600,-
'25:34.408',-,-,-,-,-,-,-0.296,-0.344,51.600,-
'25:34.416',-,-,-,-,-,-,-0.232,-0.248,52.800,-
'25:34.424',-,-,-,-,-,-,-0.184,-0.208,52.800,-
'25:34.432',-,-,-,-,-,-,-0.168,-0.160,54.000,-
'25:34.440',-,-,-,-,-,-,-0.168,-0.160,56.400,-
'25:34.448',-,-,-,-,-,-,-0.144,-0.160,61.200,-
'25:34.456',-,-,-,-,-,-,-0.120,-0.136,68.400,-
'25:34.464',-,-,-,-,-,-,-0.104,-0.112,76.800,-
'25:34.472',-,-,-,-,-,-,-0.080,-0.088,84.000,-
'25:34.480',-,-,-,-,-,-,-0.080,-0.064,88.800,-
'25:34.488',-,-,-,-,-,-,-0.080,-0.064,91.200,-
'25:34.496',-,-,-,-,-,-,-0.056,-0.088,93.600,-
'25:34.504',-,-,-,-,-,-,-0.056,-0.040,96.000,-
'25:34.512',-,-,-,-,-,-,-0.040,-0.040,97.200,-
'25:34.520',-,-,-,-,-,-,-0.040,-0.040,98.400,-
'25:34.528',-,-,-,-,-,-,0.000,0.000,98.400,-
'25:34.536',-,-,-,-,-,-,0.016,0.000,98.400,-
'25:34.544',-,-,-,-,-,-,0.040,0.016,99.600,-
'25:34.552',-,-,-,-,-,-,0.080,0.040,99.600,-
'25:34.560',-,-,-,-,-,-,0.168,0.136,99.600,-
'25:34.568',-,-,-,-,-,-,0.248,0.184,99.600,-
'25:34.576',-,-,-,-,-,-,0.312,0.296,98.400,-
'25:34.584',-,-,-,-,-,-,0.400,0.344,97.200,-
'25:34.592',-,-,-,-,-,-,0.464,0.440,96.000,-
'25:34.600',-,-,-,-,-,-,0.504,0.488,96.000,-
'25:34.608',-,-,-,-,-,-,0.528,0.528,94.800,-
'25:34.616',-,-,-,-,-,-,0.528,0.528,93.600,-
'25:34.624',-,-,-,-,-,-,0.504,0.504,92.400,-
'25:34.632',-,-,-,-,-,-,0.424,0.440,90.000,-
'25:34.640',-,-,-,-,-,-,0.336,0.344,88.800,-
'25:34.648',-,-,-,-,-,-,0.232,0.248,86.400,-
'25:34.656',-,-,-,-,-,-,0.168,0.184,82.800,-
'25:34.664',-,-,-,-,-,-,0.104,0.112,80.400,-
'25:34.672',-,-,-,-,-,-,0.056,0.040,78.000,-
'25:34.680',-,-,-,-,-,-,0.016,0.000,76.800,-
'25:34.688',-,-,-,-,-,-,0.000,0.000,76.800,-
'25:34.696',-,-,-,-,-,-,-0.016,-0.016,76.800,-
'25:34.704',-,-,-,-,-,-,-0.040,-0.040,75.600,-
'25:34.712',-,-,-,-,-,-,-0.056,-0.040,74.400,-
'25:34.720',-,-,-,-,-,-,-0.080,-0.088,74.400,-
'25:34.728',-,-,-,-,-,-,-0.080,-0.112,74.400,-
'25:34.736',-,-,-,-,-,-,-0.080,-0.088,73.200,-
'25:34.744',-,-,-,-,-,-,-0.080,-0.112,73.200,-
'25:34.752',-,-,-,-,-,-,-0.040,-0.112,72.000,-
'25:34.760',-,-,-,-,-,-,0.040,-0.040,72.000,-
'25:34.768',-,-,-,-,-,-,0.120,0.064,70.800,-
'25:34.776',-,-,-,-,-,-,0.040,0.112,69.600,-
'25:34.784',-,-,-,-,-,-,-0.232,0.000,69.600,-
'25:34.792',-,-,-,-,-,-,-0.592,-0.440,68.400,-
'25:34.800',-,-,-,-,-,-,-0.744,-0.856,68.400,-
'25:34.808',-,-,-,-,-,-,-0.632,-0.880,67.200,-
'25:34.816',-,-,-,-,-,-,-0.504,-0.552,67.200,-
'25:34.824',-,-,-,-,-,-,-0.424,-0.464,67.200,-
'25:34.832',-,-,-,-,-,-,-0.336,-0.368,67.200,-
'25:34.840',-,-,-,-,-,-,-0.248,-0.248,66.000,-
'25:34.848',-,-,-,-,-,-,-0.232,-0.208,67.200,-
'25:34.856',-,-,-,-,-,-,-0.208,-0.208,67.200,-
'25:34.864',-,-,-,-,-,-,-0.184,-0.184,68.400,-
'25:34.872',-,-,-,-,-,-,-0.168,-0.160,69.600,-
'25:34.880',-,-,-,-,-,-,-0.144,-0.160,72.000,-
'25:34.888',-,-,-,-,-,-,-0.120,-0.112,75.600,-
'25:34.896',-,-,-,-,-,-,-0.104,-0.112,80.400,-
'25:34.904',-,-,-,-,-,-,-0.104,-0.112,85.200,-
'25:34.912',-,-,-,-,-,-,-0.080,-0.088,88.800,-
'25:34.920',-,-,-,-,-,-,-0.080,-0.112,91.200,-
'25:34.928',-,-,-,-,-,-,-0.056,-0.064,92.400,-
'25:34.936',-,-,-,-,-,-,-0.040,-0.040,93.600,-
'25:34.944',-,-,-,-,-,-,0.000,0.000,96.000,-
'25:34.952',-,-,-,-,-,-,0.040,0.016,96.000,-
'25:34.960',-,-,-,-,-,-,0.104,0.040,96.000,-
'25:34.968',-,-,-,-,-,-,0.184,0.136,96.000,-
'25:34.976',-,-,-,-,-,-,0.296,0.248,96.000,-
'25:34.984',-,-,-,-,-,-,0.360,0.344,94.800,-
'25:34.992',-,-,-,-,-,-,0.400,0.392,94.800,-
'25:35.000',-,-,-,-,-,-,0.424,0.392,93.600,-
'25:35.008',-,-,-,-,-,-,0.440,0.440,91.200,-
'25:35.016',-,-,-,-,-,-,0.440,0.416,90.000,-
'25:35.024',-,-,-,-,-,-,0.376,0.392,88.800,-
'25:35.032',-,-,-,-,-,-,0.312,0.320,86.400,-
'25:35.040',-,-,-,-,-,-,0.208,0.232,84.000,-
'25:35.048',-,-,-,-,-,-,0.120,0.136,81.600,-
'25:35.056',-,-,-,-,-,-,0.056,0.040,78.000,-
'25:35.064',-,-,-,-,-,-,0.016,0.000,75.600,-
'25:35.072',-,-,-,-,-,-,0.000,0.000,74.400,-
'25:35.080',-,-,-,-,-,-,-0.016,-0.040,74.400,-
'25:35.088',-,-,-,-,-,-,-0.040,-0.040,73.200,-
'25:35.096',-,-,-,-,-,-,-0.056,-0.088,72.000,-
'25:35.104',-,-,-,-,-,-,-0.040,-0.040,72.000,-
'25:35.112',-,-,-,-,-,-,-0.040,-0.040,70.800,-
'25:35.120',-,-,-,-,-,-,-0.040,-0.040,70.800,-
'25:35.128',-,-,-,-,-,-,-0.056,-0.064,70.800,-
'25:35.136',-,-,-,-,-,-,-0.056,-0.088,70.800,-
'25:35.144',-,-,-,-,-,-,-0.080,-0.064,69.600,-
'25:35.152',-,-,-,-,-,-,-0.080,-0.112,69.600,-
'25:35.160',-,-,-,-,-,-,-0.080,-0.112,68.400,-
'25:35.168',-,-,-,-,-,-,-0.080,-0.112,68.400,-
'25:35.176',-,-,-,-,-,-,-0.080,-0.112,68.400,-
'25:35.184',-,-,-,-,-,-,-0.080,-0.112,67.200,-
'25:35.192',-,-,-,-,-,-,-0.080,-0.112,67.200,-
'25:35.200',-,-,-,-,-,-,-0.056,-0.064,67.200,-
'25:35.208',-,-,-,-,-,-,-0.056,-0.040,66.000,-
'25:35.216',-,-,-,-,-,-,-0.080,-0.112,66.000,-
'25:35.224',-,-,-,-,-,-,-0.104,-0.112,66.000,-
'25:35.232',-,-,-,-,-,-,-0.104,-0.112,66.000,-
'25:35.240',-,-,-,-,-,-,-0.104,-0.088,64.800,-
'25:35.248',-,-,-,-,-,-,-0.080,-0.112,64.800,-
'25:35.256',-,-,-,-,-,-,-0.080,-0.112,64.800,-
'25:35.264',-,-,-,-,-,-,-0.080,-0.064,64.800,-
'25:35.272',-,-,-,-,-,-,-0.080,-0.112,63.600,-
'25:35.280',-,-,-,-,-,-,-0.056,-0.064,63.600,-
'25:35.288',-,-,-,-,-,-,-0.080,-0.064,63.600,-
'25:35.296',-,-,-,-,-,-,-0.080,-0.064,63.600,-
'25:35.304',-,-,-,-,-,-,-0.080,-0.088,62.400,-
'25:35.312',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:35.320',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:35.328',-,-,-,-,-,-,-0.080,-0.088,61.200,-
'25:35.336',-,-,-,-,-,-,-0.056,-0.064,61.200,-
'25:35.344',-,-,-,-,-,-,-0.080,-0.064,61.200,-
'25:35.352',-,-,-,-,-,-,-0.080,-0.064,61.200,-
'25:35.360',-,-,-,-,-,-,-0.080,-0.064,61.200,-
'25:35.368',-,-,-,-,-,-,-0.080,-0.040,60.000,-
'25:35.376',-,-,-,-,-,-,-0.080,-0.064,60.000,-
'25:35.384',-,-,-,-,-,-,-0.080,-0.088,60.000,-
'25:35.392',-,-,-,-,-,-,-0.080,-0.064,60.000,-
'25:35.400',-,-,-,-,-,-,-0.080,-0.112,58.800,-
'25:35.408',-,-,-,-,-,-,-0.056,-0.088,58.800,-
'25:35.416',-,-,-,-,-,-,-0.056,-0.040,58.800,-
'25:35.424',-,-,-,-,-,-,-0.056,-0.040,58.800,-
'25:35.432',-,-,-,-,-,-,-0.056,-0.064,57.600,-
'25:35.440',-,-,-,-,-,-,-0.056,-0.040,57.600,-
'25:35.448',-,-,-,-,-,-,-0.040,-0.040,57.600,-
'25:35.456',-,-,-,-,-,-,-0.016,0.000,57.600,-
'25:35.464',-,-,-,-,-,-,-0.016,0.000,57.600,-
'25:35.472',-,-,-,-,-,-,-0.040,-0.016,57.600,-
'25:35.480',-,-,-,-,-,-,-0.056,-0.064,56.400,-
'25:35.488',-,-,-,-,-,-,-0.080,-0.064,56.400,-
'25:35.496',-,-,-,-,-,-,-0.080,-0.040,56.400,-
'25:35.504',-,-,-,-,-,-,-0.080,-0.064,56.400,-
'25:35.512',-,-,-,-,-,-,-0.080,-0.088,56.400,-
'25:35.520',-,-,-,-,-,-,-0.080,-0.064,56.400,-
'25:35.528',-,-,-,-,-,-,-0.080,-0.040,56.400,-
'25:35.536',-,-,-,-,-,-,-0.056,-0.088,56.400,-
'25:35.544',-,-,-,-,-,-,0.000,-0.064,56.400,-
'25:35.552',-,-,-,-,-,-,0.080,0.016,56.400,-
'25:35.560',-,-,-,-,-,-,0.080,0.112,56.400,-
'25:35.568',-,-,-,-,-,-,-0.104,0.016,56.400,-
'25:35.576',-,-,-,-,-,-,-0.424,-0.232,56.400,-
'25:35.584',-,-,-,-,-,-,-0.656,-0.672,56.400,-
'25:35.592',-,-,-,-,-,-,-0.656,-0.808,55.200,-
'25:35.600',-,-,-,-,-,-,-0.464,-0.504,55.200,-
'25:35.608',-,-,-,-,-,-,-0.376,-0.416,55.200,-
'25:35.616',-,-,-,-,-,-,-0.296,-0.344,54.000,-
'25:35.624',-,-,-,-,-,-,-0.232,-0.248,54.000,-
'25:35.632',-,-,-,-,-,-,-0.184,-0.184,54.000,-
'25:35.640',-,-,-,-,-,-,-0.168,-0.160,55.200,-
'25:35.648',-,-,-,-,-,-,-0.120,-0.136,58.800,-
'25:35.656',-,-,-,-,-,-,-0.104,-0.088,63.600,-
'25:35.664',-,-,-,-,-,-,-0.104,-0.112,70.800,-
'25:35.672',-,-,-,-,-,-,-0.080,-0.088,79.200,-
'25:35.680',-,-,-,-,-,-,-0.080,-0.064,86.400,-
'25:35.688',-,-,-,-,-,-,-0.080,-0.040,91.200,-
'25:35.696',-,-,-,-,-,-,-0.056,-0.064,93.600,-
'25:35.704',-,-,-,-,-,-,-0.040,-0.040,94.800,-
'25:35.712',-,-,-,-,-,-,-0.016,-0.016,97.200,-
'25:35.720',-,-,-,-,-,-,0.000,0.000,98.400,-
'25:35.728',-,-,-,-,-,-,0.016,0.000,99.600,-
'25:35.736',-,-,-,-,-,-,0.016,0.016,99.600,-
'25:35.744',-,-,-,-,-,-,0.040,0.016,99.600,-
'25:35.752',-,-,-,-,-,-,0.080,0.040,99.600,-
'25:35.760',-,-,-,-,-,-,0.144,0.136,99.600,-
'25:35.768',-,-,-,-,-,-,0.208,0.184,99.600,-
'25:35.776',-,-,-,-,-,-,0.296,0.248,99.600,-
'25:35.784',-,-,-,-,-,-,0.400,0.344,98.400,-
'25:35.792',-,-,-,-,-,-,0.488,0.440,97.200,-
'25:35.800',-,-,-,-,-,-,0.552,0.528,97.200,-
'25:35.808',-,-,-,-,-,-,0.616,0.576,96.000,-
'25:35.816',-,-,-,-,-,-,0.632,0.624,94.800,-
'25:35.824',-,-,-,-,-,-,0.616,0.624,93.600,-
'25:35.832',-,-,-,-,-,-,0.568,0.576,92.400,-
'25:35.840',-,-,-,-,-,-,0.464,0.488,90.000,-
'25:35.848',-,-,-,-,-,-,0.376,0.392,87.600,-
'25:35.856',-,-,-,-,-,-,0.272,0.296,85.200,-
'25:35.864',-,-,-,-,-,-,0.208,0.208,81.600,-
'25:35.872',-,-,-,-,-,-,0.120,0.112,79.200,-
'25:35.880',-,-,-,-,-,-,0.080,0.040,76.800,-
'25:35.888',-,-,-,-,-,-,0.056,0.040,75.600,-
'25:35.896',-,-,-,-,-,-,0.040,0.040,75.600,-
'25:35.904',-,-,-,-,-,-,0.040,0.016,74.400,-
'25:35.912',-,-,-,-,-,-,0.016,0.000,74.400,-
'25:35.920',-,-,-,-,-,-,0.000,0.000,73.200,-
'25:35.928',-,-,-,-,-,-,0.000,0.000,73.200,-
'25:35.936',-,-,-,-,-,-,-0.016,-0.016,72.000,-
'25:35.944',-,-,-,-,-,-,-0.040,-0.040,72.000,-
'25:35.952',-,-,-,-,-,-,-0.040,-0.040,70.800,-
'25:35.960',-,-,-,-,-,-,-0.040,-0.040,70.800,-
'25:35.968',-,-,-,-,-,-,-0.056,-0.064,69.600,-
'25:35.976',-,-,-,-,-,-,-0.056,-0.088,69.600,-
'25:35.984',-,-,-,-,-,-,-0.040,-0.064,69.600,-
'25:35.992',-,-,-,-,-,-,-0.056,-0.040,69.600,-
'25:36.000',-,-,-,-,-,-,-0.056,-0.064,68.400,-
'25:36.008',-,-,-,-,-,-,-0.056,-0.064,68.400,-
'25:36.016',-,-,-,-,-,-,-0.080,-0.088,68.400,-
'25:36.024',-,-,-,-,-,-,-0.080,-0.112,67.200,-
'25:36.032',-,-,-,-,-,-,-0.056,-0.088,67.200,-
'25:36.040',-,-,-,-,-,-,-0.056,-0.064,67.200,-
'25:36.048',-,-,-,-,-,-,-0.056,-0.088,67.200,-
'25:36.056',-,-,-,-,-,-,-0.080,-0.112,66.000,-
'25:36.064',-,-,-,-,-,-,-0.080,-0.088,66.000,-
'25:36.072',-,-,-,-,-,-,-0.056,-0.064,66.000,-
'25:36.080',-,-,-,-,-,-,-0.040,-0.040,64.800,-
'25:36.088',-,-,-,-,-,-,-0.040,-0.016,64.800,-
'25:36.096',-,-,-,-,-,-,-0.040,-0.040,64.800,-
'25:36.104',-,-,-,-,-,-,-0.056,-0.064,64.800,-
'25:36.112',-,-,-,-,-,-,-0.080,-0.088,63.600,-
'25:36.120',-,-,-,-,-,-,-0.080,-0.112,63.600,-
'25:36.128',-,-,-,-,-,-,-0.080,-0.112,63.600,-
'25:36.136',-,-,-,-,-,-,-0.080,-0.112,63.600,-
'25:36.144',-,-,-,-,-,-,-0.104,-0.112,63.600,-
'25:36.152',-,-,-,-,-,-,-0.104,-0.112,63.600,-
'25:36.160',-,-,-,-,-,-,-0.104,-0.112,63.600,-
'25:36.168',-,-,-,-,-,-,-0.104,-0.112,63.600,-
'25:36.176',-,-,-,-,-,-,-0.104,-0.112,63.600,-
'25:36.184',-,-,-,-,-,-,-0.104,-0.112,62.400,-
'25:36.192',-,-,-,-,-,-,-0.080,-0.136,62.400,-
'25:36.200',-,-,-,-,-,-,-0.056,-0.112,62.400,-
'25:36.208',-,-,-,-,-,-,-0.056,-0.088,62.400,-
'25:36.216',-,-,-,-,-,-,-0.080,-0.040,62.400,-
'25:36.224',-,-,-,-,-,-,-0.080,-0.112,61.200,-
'25:36.232',-,-,-,-,-,-,-0.056,-0.112,61.200,-
'25:36.240',-,-,-,-,-,-,0.000,-0.088,60.000,-
'25:36.248',-,-,-,-,-,-,0.056,0.000,60.000,-
'25:36.256',-,-,-,-,-,-,0.000,0.040,60.000,-
'25:36.264',-,-,-,-,-,-,-0.232,-0.064,58.800,-
'25:36.272',-,-,-,-,-,-,-0.504,-0.368,58.800,-
'25:36.280',-,-,-,-,-,-,-0.616,-0.744,57.600,-
'25:36.288',-,-,-,-,-,-,-0.504,-0.760,57.600,-
'25:36.296',-,-,-,-,-,-,-0.400,-0.464,57.600,-
'25:36.304',-,-,-,-,-,-,-0.336,-0.392,56.400,-
'25:36.312',-,-,-,-,-,-,-0.272,-0.296,56.400,-
'25:36.320',-,-,-,-,-,-,-0.208,-0.232,57.600,-
'25:36.328',-,-,-,-,-,-,-0.144,-0.136,58.800,-
'25:36.336',-,-,-,-,-,-,-0.120,-0.112,60.000,-
'25:36.344',-,-,-,-,-,-,-0.104,-0.136,64.800,-
'25:36.352',-,-,-,-,-,-,-0.104,-0.112,70.800,-
'25:36.360',-,-,-,-,-,-,-0.080,-0.112,79.200,-
'25:36.368',-,-,-,-,-,-,-0.080,-0.088,86.400,-
'25:36.376',-,-,-,-,-,-,-0.056,-0.064,91.200,-
'25:36.384',-,-,-,-,-,-,-0.080,-0.088,93.600,-
'25:36.392',-,-,-,-,-,-,-0.056,-0.064,96.000,-
'25:36.400',-,-,-,-,-,-,-0.016,-0.040,98.400,-
'25:36.408',-,-,-,-,-,-,-0.016,0.000,100.800,-
'25:36.416',-,-,-,-,-,-,0.000,0.000,102.000,-
'25:36.424',-,-,-,-,-,-,0.016,0.000,102.000,-
'25:36.432',-,-,-,-,-,-,0.056,0.040,102.000,-
'25:36.440',-,-,-,-,-,-,0.104,0.064,103.200,-
'25:36.448',-,-,-,-,-,-,0.144,0.088,103.200,-
'25:36.456',-,-,-,-,-,-,0.208,0.160,103.200,-
'25:36.464',-,-,-,-,-,-,0.272,0.232,103.200,-
'25:36.472',-,-,-,-,-,-,0.376,0.320,102.000,-
'25:36.480',-,-,-,-,-,-,0.488,0.440,100.800,-
'25:36.488',-,-,-,-,-,-,0.552,0.504,100.800,-
'25:36.496',-,-,-,-,-,-,0.592,0.576,99.600,-
'25:36.504',-,-,-,-,-,-,0.592,0.576,98.400,-
'25:36.512',-,-,-,-,-,-,0.616,0.600,97.200,-
'25:36.520',-,-,-,-,-,-,0.568,0.576,96.000,-
'25:36.528',-,-,-,-,-,-,0.504,0.528,93.600,-
'25:36.536',-,-,-,-,-,-,0.424,0.440,92.400,-
'25:36.544',-,-,-,-,-,-,0.312,0.344,90.000,-
'25:36.552',-,-,-,-,-,-,0.208,0.232,86.400,-
'25:36.560',-,-,-,-,-,-,0.120,0.112,82.800,-
'25:36.568',-,-,-,-,-,-,0.056,0.040,80.400,-
'25:36.576',-,-,-,-,-,-,0.016,0.000,79.200,-
'25:36.584',-,-,-,-,-,-,0.000,0.000,78.000,-
'25:36.592',-,-,-,-,-,-,-0.016,-0.016,76.800,-
'25:36.600',-,-,-,-,-,-,-0.040,-0.064,76.800,-
'25:36.608',-,-,-,-,-,-,-0.016,-0.040,75.600,-
'25:36.616',-,-,-,-,-,-,-0.040,-0.016,74.400,-
'25:36.624',-,-,-,-,-,-,-0.056,-0.064,74.400,-
'25:36.632',-,-,-,-,-,-,-0.056,-0.088,74.400,-
'25:36.640',-,-,-,-,-,-,-0.056,-0.064,73.200,-
'25:36.648',-,-,-,-,-,-,-0.056,-0.040,73.200,-
'25:36.656',-,-,-,-,-,-,-0.040,-0.064,72.000,-
'25:36.664',-,-,-,-,-,-,-0.056,-0.064,72.000,-
'25:36.672',-,-,-,-,-,-,-0.056,-0.064,70.800,-
'25:36.680',-,-,-,-,-,-,-0.080,-0.040,70.800,-
'25:36.688',-,-,-,-,-,-,-0.080,-0.112,70.800,-
'25:36.696',-,-,-,-,-,-,-0.056,-0.088,69.600,-
'25:36.704',-,-,-,-,-,-,-0.056,-0.064,69.600,-
'25:36.712',-,-,-,-,-,-,-0.040,-0.040,69.600,-
'25:36.720',-,-,-,-,-,-,-0.040,-0.040,68.400,-
'25:36.728',-,-,-,-,-,-,-0.056,-0.040,68.400,-
'25:36.736',-,-,-,-,-,-,-0.056,-0.088,68.400,-
'25:36.744',-,-,-,-,-,-,-0.080,-0.112,67.200,-
'25:36.752',-,-,-,-,-,-,-0.080,-0.112,67.200,-
'25:36.760',-,-,-,-,-,-,-0.104,-0.112,67.200,-
'25:36.768',-,-,-,-,-,-,-0.104,-0.112,67.200,-
'25:36.776',-,-,-,-,-,-,-0.104,-0.112,67.200,-
'25:36.784',-,-,-,-,-,-,-0.104,-0.088,67.200,-
'25:36.792',-,-,-,-,-,-,-0.104,-0.112,67.200,-
'25:36.800',-,-,-,-,-,-,-0.104,-0.112,67.200,-
'25:36.808',-,-,-,-,-,-,-0.104,-0.112,67.200,-
'25:36.816',-,-,-,-,-,-,-0.104,-0.112,66.000,-
'25:36.824',-,-,-,-,-,-,-0.104,-0.112,66.000,-
'25:36.832',-,-,-,-,-,-,-0.120,-0.112,66.000,-
'25:36.840',-,-,-,-,-,-,-0.104,-0.136,64.800,-
'25:36.848',-,-,-,-,-,-,-0.080,-0.112,64.800,-
'25:36.856',-,-,-,-,-,-,-0.080,-0.088,64.800,-
'25:36.864',-,-,-,-,-,-,-0.080,-0.088,63.600,-
'25:36.872',-,-,-,-,-,-,0.000,-0.040,63.600,-
'25:36.880',-,-,-,-,-,-,0.056,0.040,62.400,-
'25:36.888',-,-,-,-,-,-,-0.016,0.088,62.400,-
'25:36.896',-,-,-,-,-,-,-0.248,-0.064,61.200,-
'25:36.904',-,-,-,-,-,-,-0.552,-0.392,61.200,-
'25:36.912',-,-,-,-,-,-,-0.680,-0.760,60.000,-
'25:36.920',-,-,-,-,-,-,-0.592,-0.808,60.000,-
'25:36.928',-,-,-,-,-,-,-0.464,-0.504,60.000,-
'25:36.936',-,-,-,-,-,-,-0.360,-0.416,58.800,-
'25:36.944',-,-,-,-,-,-,-0.272,-0.296,58.800,-
'25:36.952',-,-,-,-,-,-,-0.208,-0.208,60.000,-
'25:36.960',-,-,-,-,-,-,-0.184,-0.184,61.200,-
'25:36.968',-,-,-,-,-,-,-0.168,-0.160,62.400,-
'25:36.976',-,-,-,-,-,-,-0.144,-0.112,66.000,-
'25:36.984',-,-,-,-,-,-,-0.120,-0.112,72.000,-
'25:36.992',-,-,-,-,-,-,-0.120,-0.112,79.200,-
'25:37.000',-,-,-,-,-,-,-0.120,-0.112,86.400,-
'25:37.008',-,-,-,-,-,-,-0.104,-0.088,92.400,-
'25:37.016',-,-,-,-,-,-,-0.080,-0.088,94.800,-
'25:37.024',-,-,-,-,-,-,-0.056,-0.040,97.200,-
'25:37.032',-,-,-,-,-,-,-0.040,-0.040,98.400,-
'25:37.040',-,-,-,-,-,-,-0.016,-0.016,100.800,-
'25:37.048',-,-,-,-,-,-,0.000,0.000,103.200,-
'25:37.056',-,-,-,-,-,-,0.016,0.000,104.400,-
'25:37.064',-,-,-,-,-,-,0.040,0.040,104.400,-
'25:37.072',-,-,-,-,-,-,0.080,0.088,104.400,-
'25:37.080',-,-,-,-,-,-,0.120,0.112,104.400,-
'25:37.088',-,-,-,-,-,-,0.208,0.184,104.400,-
'25:37.096',-,-,-,-,-,-,0.296,0.272,103.200,-
'25:37.104',-,-,-,-,-,-,0.400,0.368,103.200,-
'25:37.112',-,-,-,-,-,-,0.488,0.440,102.000,-
'25:37.120',-,-,-,-,-,-,0.552,0.504,102.000,-
'25:37.128',-,-,-,-,-,-,0.592,0.600,100.800,-
'25:37.136',-,-,-,-,-,-,0.616,0.624,99.600,-
'25:37.144',-,-,-,-,-,-,0.616,0.600,98.400,-
'25:37.152',-,-,-,-,-,-,0.568,0.600,97.200,-
'25:37.160',-,-,-,-,-,-,0.464,0.488,94.800,-
'25:37.168',-,-,-,-,-,-,0.376,0.416,93.600,-
'25:37.176',-,-,-,-,-,-,0.296,0.296,90.000,-
'25:37.184',-,-,-,-,-,-,0.208,0.232,87.600,-
'25:37.192',-,-,-,-,-,-,0.144,0.160,84.000,-
'25:37.200',-,-,-,-,-,-,0.056,0.064,80.400,-
'25:37.208',-,-,-,-,-,-,0.016,0.000,79.200,-
'25:37.216',-,-,-,-,-,-,0.000,0.000,78.000,-
'25:37.224',-,-,-,-,-,-,-0.016,0.000,78.000,-
'25:37.232',-,-,-,-,-,-,-0.040,-0.040,76.800,-
'25:37.240',-,-,-,-,-,-,-0.040,-0.016,75.600,-
'25:37.248',-,-,-,-,-,-,-0.056,-0.040,74.400,-
