'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'25:41.784',-,-,-,-,-,-,-0.144,-0.160,70.800,-
'25:41.792',-,-,-,-,-,-,-0.144,-0.136,70.800,-
'25:41.800',-,-,-,-,-,-,-0.168,-0.160,70.800,-
'25:41.808',-,-,-,-,-,-,-0.168,-0.160,70.800,-
'25:41.816',-,-,-,-,-,-,-0.168,-0.208,70.800,-
'25:41.824',-,-,-,-,-,-,-0.144,-0.184,70.800,-
'25:41.832',-,-,-,-,-,-,-0.144,-0.112,69.600,-
'25:41.840',-,-,-,-,-,-,-0.144,-0.160,69.600,-
'25:41.848',-,-,-,-,-,-,-0.104,-0.184,69.600,-
'25:41.856',-,-,-,-,-,-,-0.104,-0.160,69.600,-
'25:41.864',-,-,-,-,-,-,-0.144,-0.112,69.600,-
'25:41.872',-,-,-,-,-,-,-0.184,-0.160,68.400,-
'25:41.880',-,-,-,-,-,-,-0.120,-0.232,67.200,-
'25:41.888',-,-,-,-,-,-,-0.016,-0.112,67.200,-
'25:41.896',-,-,-,-,-,-,0.000,0.000,67.200,-
'25:41.904',-,-,-,-,-,-,-0.120,0.000,66.000,-
'25:41.912',-,-,-,-,-,-,-0.360,-0.136,66.000,-
'25:41.920',-,-,-,-,-,-,-0.632,-0.488,66.000,-
'25:41.928',-,-,-,-,-,-,-0.680,-0.808,64.800,-
'25:41.936',-,-,-,-,-,-,-0.552,-0.600,64.800,-
'25:41.944',-,-,-,-,-,-,-0.440,-0.488,63.600,-
'25:41.952',-,-,-,-,-,-,-0.376,-0.416,63.600,-
'25:41.960',-,-,-,-,-,-,-0.312,-0.296,63.600,-
'25:41.968',-,-,-,-,-,-,-0.232,-0.248,63.600,-
'25:41.976',-,-,-,-,-,-,-0.208,-0.208,64.800,-
'25:41.984',-,-,-,-,-,-,-0.208,-0.208,67.200,-
'25:41.992',-,-,-,-,-,-,-0.208,-0.160,69.600,-
'25:42.000',-,-,-,-,-,-,-0.184,-0.136,75.600,-
'25:42.008',-,-,-,-,-,-,-0.144,-0.208,82.800,-
'25:42.016',-,-,-,-,-,-,-0.104,-0.112,90.000,-
'25:42.024',-,-,-,-,-,-,-0.080,-0.040,96.000,-
'25:42.032',-,-,-,-,-,-,-0.080,-0.016,98.400,-
'25:42.040',-,-,-,-,-,-,-0.080,-0.112,100.800,-
'25:42.048',-,-,-,-,-,-,-0.080,-0.040,103.200,-
'25:42.056',-,-,-,-,-,-,-0.080,-0.040,105.600,-
'25:42.064',-,-,-,-,-,-,-0.040,-0.040,106.800,-
'25:42.072',-,-,-,-,-,-,-0.016,0.000,106.800,-
'25:42.080',-,-,-,-,-,-,0.000,0.016,106.800,-
'25:42.088',-,-,-,-,-,-,0.016,0.040,106.800,-
'25:42.096',-,-,-,-,-,-,0.056,0.016,106.800,-
'25:42.104',-,-,-,-,-,-,0.144,0.088,106.800,-
'25:42.112',-,-,-,-,-,-,0.248,0.184,105.600,-
'25:42.120',-,-,-,-,-,-,0.336,0.344,104.400,-
'25:42.128',-,-,-,-,-,-,0.424,0.392,103.200,-
'25:42.136',-,-,-,-,-,-,0.488,0.464,103.200,-
'25:42.144',-,-,-,-,-,-,0.504,0.504,102.000,-
'25:42.152',-,-,-,-,-,-,0.488,0.488,100.800,-
'25:42.160',-,-,-,-,-,-,0.464,0.504,99.600,-
'25:42.168',-,-,-,-,-,-,0.424,0.440,98.400,-
'25:42.176',-,-,-,-,-,-,0.336,0.392,96.000,-
'25:42.184',-,-,-,-,-,-,0.248,0.272,94.800,-
'25:42.192',-,-,-,-,-,-,0.184,0.232,91.200,-
'25:42.200',-,-,-,-,-,-,0.120,0.184,88.800,-
'25:42.208',-,-,-,-,-,-,0.040,0.088,85.200,-
'25:42.216',-,-,-,-,-,-,-0.016,0.016,84.000,-
